word,position,modal,creaky,whole creak,V1 creak,V2 creak,glottal closure,intensity dip
word-medial,different,0.206,0.411,0.082,0.117,0.079,0.041,0.063
word-medial,identical,0.196,0.286,0.216,0.07,0.136,0.075,0.02
word-initial,different,0.216,0.437,0.03,0.106,0.025,0.065,0.121
word-initial,identical,0.184,0.447,0.026,0.105,0.053,0.079,0.105
